id,name,system,fertility,gravity,plots,pressure,radius,temperature,type,no resources,incomplete,LOW grav,HIGH grav,LOW pres,HIGH pres,LOW temp,HIGH temp,tier,Grav,Pres,Temp,
BE-796a,BE-796a,BE-796,-1,0.9,374,19.62,6001,142,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
BE-796b,BE-796b,BE-796,-1,0.65,336,6.7,4622,185,Rocky,true,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
BE-796c,BE-796c,BE-796,-1,0.27,287,0.01,2759,-13,Rocky,false,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
BE-796d,BE-796d,BE-796,-1,0.99,454,6.41,8879,-68,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-796e,BE-796e,BE-796,-1,1.4,417,6.54,7569,-136,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-796f,BE-796f,BE-796,-1,0.8,872,45.56,28117,-174,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-796g,BE-796g,BE-796,-1,1.45,1033,44.19,68436,-198,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-796h,BE-796h,BE-796,-1,2.03,1067,29.07,76770,-218,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-796i,BE-796i,BE-796,-1,1.34,921,48.88,40441,-227,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-796j,BE-796j,BE-796,-1,0.27,284,0.08,2735,-219,Rocky,false,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
BE-910a,BE-910a,BE-910,-1,1.03,388,5.79,6501,-133,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-910b,BE-910b,BE-910,-1,0.8,467,34.38,9379,-84,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-910c,BE-910c,BE-910,-1,0.34,275,0.03,2432,-175,Rocky,true,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
BE-910d,BE-910d,BE-910,-1,0.52,422,2.15,7754,-160,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-910e,BE-910e,BE-910,-1,1.4,497,15.28,10452,-215,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-910f,BE-910f,BE-910,-1,0.66,864,11.2,26131,-186,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-910g,BE-910g,BE-910,-1,1.81,1085,47.11,81363,-236,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-910h,BE-910h,BE-910,-1,1.06,939,38.41,44778,-247,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-311a,CR-311a,CR-311,-1,0.61,392,8.05,6636,-53,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-311b,CR-311b,CR-311,-1,0.7,441,18.14,8441,-105,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-311c,CR-311c,CR-311,-1,1.26,382,80.71,6280,-84,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-311d,CR-311d,CR-311,-1,0.79,334,0.01,4541,-20,Rocky,false,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
CR-311e,CR-311e,CR-311,-1,1.21,438,9.68,8324,-215,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-311f,CR-311f,CR-311,-1,0.8,859,39.79,24919,-177,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-311g,CR-311g,CR-311,-1,2.11,981,45.61,55430,-238,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-311h,CR-311h,CR-311,-1,1.92,1068,23.91,77096,-247,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-385a,CR-385a,CR-385,-1,0.71,500,10.67,10574,199,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
CR-385b,Etherwind,CR-385,0.12331593,0.63,478,1.17,9747,4,Rocky,false,false,false,false,false,false,false,false,1,NORMAL,NORMAL,NORMAL,false
CR-385c,CR-385c,CR-385,-1,0.89,525,34.69,11456,-62,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-385d,CR-385d,CR-385,-1,0.64,860,37.75,25075,-128,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-409a,CR-409a,CR-409,-1,1.06,444,31.86,8539,486,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
CR-409b,CR-409b,CR-409,-1,0.88,399,20.44,6888,418,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
CR-409c,CR-409c,CR-409,-1,1.07,404,0.95,7117,39,Rocky,false,false,false,false,false,false,false,false,1,NORMAL,NORMAL,NORMAL,false
CR-409d,CR-409d,CR-409,-1,0.9,352,0.15,5215,82,Rocky,false,false,false,false,true,false,false,true,4,NORMAL,LOW,HIGH,false
CR-409e,Promitor,CR-409,0.55999994,0.86,391,0.92,6679,8,Rocky,false,false,false,false,false,false,false,false,1,NORMAL,NORMAL,NORMAL,false
CR-409f,CR-409f,CR-409,-1,0.97,863,33.9,25941,-92,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-409g,CR-409g,CR-409,-1,1.67,1128,16.28,92234,-177,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-534a,CR-534a,CR-534,-1,0.95,394,6.92,6712,90,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
CR-534b,CR-534b,CR-534,-1,0.76,390,8.65,6588,54,Rocky,false,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
CR-534c,CR-534c,CR-534,-1,0.3,280,0.12,2586,10,Rocky,true,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
CR-534d,CR-534d,CR-534,-1,0.95,403,8.16,7057,-95,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-534e,CR-534e,CR-534,-1,1.06,441,0.84,8407,-146,Rocky,false,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
CR-534f,CR-534f,CR-534,-1,0.56,864,44.48,26175,-186,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-534g,CR-534g,CR-534,-1,2.12,973,20.98,53474,-201,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-534h,CR-534h,CR-534,-1,2.08,1059,23.37,74828,-226,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-534i,CR-534i,CR-534,-1,1.4,930,35.37,42615,-238,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-534j,CR-534j,CR-534,-1,1.12,400,54.13,6926,-237,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-740a,CR-740a,CR-740,-1,0.21,294,0,3096,-67,Rocky,false,false,true,false,true,false,true,false,3,LOW,LOW,LOW,false
CR-740b,CR-740b,CR-740,-1,0.7,434,0.21,8177,-7,Rocky,true,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
CR-740c,CR-740c,CR-740,-1,0.72,351,6.68,5152,-139,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-740d,CR-740d,CR-740,-1,1.36,410,74.28,7316,-157,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-740e,CR-740e,CR-740,-1,0.66,392,0.92,6636,-209,Rocky,false,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
CR-740f,CR-740f,CR-740,-1,0.67,855,20.61,23809,-200,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-740g,CR-740g,CR-740,-1,1.85,993,47.28,85268,-214,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-740h,CR-740h,CR-740,-1,2.63,1029,40.96,67378,-220,Gaseous,true,false,false,true,false,true,true,false,3,HIGH,HIGH,LOW,false
CR-740i,CR-740i,CR-740,-1,1.69,910,41.85,37683,-230,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-740j,CR-740j,CR-740,-1,0.92,462,0,9181,-234,Rocky,false,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
CR-901a,CR-901a,CR-901,-1,0.77,360,3.74,5483,18,Rocky,false,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
CR-901b,CR-901b,CR-901,-1,1.19,416,84.03,7505,-24,Rocky,true,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
CR-901c,CR-901c,CR-901,-1,1.2,473,1.2,9593,-75,Rocky,false,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
CR-901d,CR-901d,CR-901,-1,0.68,877,47,29496,-151,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-901e,CR-901e,CR-901,-1,2.07,991,12.76,57938,-187,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-911a,CR-911a,CR-911,-1,0.34,298,0.48,3254,361,Rocky,false,false,false,false,false,false,false,true,4,NORMAL,NORMAL,HIGH,false
CR-911b,Apothecary,CR-911,-1,0.34,276,0.13,2455,30,Rocky,false,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
CR-911c,CR-911c,CR-911,-1,0.84,423,19.37,7761,-66,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-911d,CR-911d,CR-911,-1,0.95,532,8.3,11715,-110,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-911e,CR-911e,CR-911,-1,0.76,850,46.92,22511,-185,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-911f,CR-911f,CR-911,-1,2.29,983,42.96,55885,-205,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-911g,CR-911g,CR-911,-1,2.72,1031,31.25,67921,-221,Gaseous,true,false,false,true,false,true,true,false,3,HIGH,HIGH,LOW,false
CR-911h,CR-911h,CR-911,-1,1.3,933,19.95,43306,-200,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CR-911i,CR-911i,CR-911,-1,1.32,490,157.41,10180,-235,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-108a,CT-108a,CT-108,-1,0.95,352,6.3,5207,-51,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-108b,CT-108b,CT-108,-1,0.86,336,2.16,4631,-154,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-108c,CT-108c,CT-108,-1,1.51,416,20.72,7520,-94,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-108d,CT-108d,CT-108,-1,0.52,447,0.12,8658,-203,Rocky,false,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
CT-108e,CT-108e,CT-108,-1,1.09,526,52.94,11507,-210,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-108f,CT-108f,CT-108,-1,1.01,853,37.94,23340,-228,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-108g,CT-108g,CT-108,-1,2.26,972,13.45,53201,-206,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-189a,CT-189a,CT-189,-1,0.7,402,1.42,7030,140,Rocky,false,false,false,false,false,false,false,true,4,NORMAL,NORMAL,HIGH,false
CT-189b,CT-189b,CT-189,-1,0.84,390,23.06,6576,80,Rocky,true,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
CT-189c,CT-189c,CT-189,-1,0.79,367,0.08,5744,2,Rocky,false,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
CT-189d,CT-189d,CT-189,-1,0.95,580,128.93,13451,-76,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-189e,CT-189e,CT-189,-1,2.18,974,30.93,53514,-178,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-189f,CT-189f,CT-189,-1,1.9,1102,19.34,85569,-207,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-189g,CT-189g,CT-189,-1,1.69,920,16.05,40184,-194,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-208a,CT-208a,CT-208,-1,0.95,356,4.34,5358,191,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
CT-208b,CT-208b,CT-208,-1,1.17,389,1.97,6557,90,Rocky,false,false,false,false,false,false,false,true,4,NORMAL,NORMAL,HIGH,false
CT-208c,CT-208c,CT-208,-1,0.58,449,8.34,8696,18,Rocky,false,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
CT-208d,CT-208d,CT-208,-1,0.91,511,3.51,10952,-5,Rocky,false,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
CT-208e,CT-208e,CT-208,-1,0.57,835,33.78,18797,-132,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-208f,CT-208f,CT-208,-1,2.07,981,34.5,55442,-182,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-208g,CT-208g,CT-208,-1,2.74,1032,24.49,68049,-207,Gaseous,true,false,false,true,false,true,true,false,3,HIGH,HIGH,LOW,false
CT-443a,CT-443a,CT-443,-1,1.03,371,2.05,5903,248,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
CT-443b,CT-443b,CT-443,-1,0.62,425,0.07,7857,-12,Rocky,false,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
CT-443c,CT-443c,CT-443,-1,0.77,874,33.49,28701,-180,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
CT-443d,CT-443d,CT-443,-1,2.3,982,26.34,55511,-190,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-177a,FI-177a,FI-177,-1,0.82,357,3.54,5392,374,Rocky,true,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
FI-177b,FI-177b,FI-177,-1,0.34,276,0.02,2443,70,Rocky,false,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
FI-177c,FI-177c,FI-177,-1,1.03,419,0.42,7621,-76,Rocky,true,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
FI-177d,FI-177d,FI-177,-1,1.11,487,30.61,10079,-107,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-177e,FI-177e,FI-177,-1,0.82,385,12.81,6382,-147,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-177f,FI-177f,FI-177,-1,0.97,851,35.89,22974,-137,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-354a,FI-354a,FI-354,-1,1.13,410,10.94,7320,-158,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-354b,FI-354b,FI-354,-1,1.2,410,5.31,7307,-200,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-354c,FI-354c,FI-354,-1,0.85,421,37.51,7703,-160,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-354d,FI-354d,FI-354,-1,0.85,859,24.6,27969,-231,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-651a,FI-651a,FI-651,-1,0.96,400,13.62,6942,91,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
FI-651b,FI-651b,FI-651,-1,0.8,437,0.1,8271,87,Rocky,false,false,false,false,true,false,false,true,4,NORMAL,LOW,HIGH,false
FI-651c,FI-651c,FI-651,-1,0.74,422,5.52,7720,-38,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-651d,FI-651d,FI-651,-1,0.77,563,5.04,12834,-112,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-651e,FI-651e,FI-651,-1,1.26,428,10.94,7955,-157,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-666a,FI-666a,FI-666,-1,0.59,392,1.92,6667,252,Rocky,false,false,false,false,false,false,false,true,4,NORMAL,NORMAL,HIGH,false
FI-666b,FI-666b,FI-666,-1,0.27,285,0.03,2769,105,Rocky,false,false,false,false,true,false,false,true,4,NORMAL,LOW,HIGH,false
FI-666c,FI-666c,FI-666,-1,1.47,421,68.51,7702,-134,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-666d,FI-666d,FI-666,-1,0.64,855,47.62,23983,-149,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-666e,FI-666e,FI-666,-1,2.03,986,29.9,56739,-196,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-877a,FI-877a,FI-877,-1,0.63,332,0.04,4480,239,Rocky,false,false,false,false,true,false,false,true,4,NORMAL,LOW,HIGH,false
FI-877b,FI-877b,FI-877,-1,0.68,413,4.64,7399,169,Rocky,true,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
FI-877c,FI-877c,FI-877,-1,0.98,523,7.12,11395,54,Rocky,false,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
FI-877d,FI-877d,FI-877,-1,22970,851,21.17,22970,-78,Gaseous,true,false,false,true,false,true,true,false,3,HIGH,HIGH,LOW,false
FI-877e,FI-877e,FI-877,-1,2.5,984,14.88,56212,-107,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-877f,FI-877f,FI-877,-1,2.74,1063,17.53,75828,-148,Gaseous,false,false,false,true,false,true,true,false,3,HIGH,HIGH,LOW,false
FI-980a,FI-980a,FI-980,-1,0.81,390,18.56,6569,356,Rocky,true,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
FI-980b,FI-980b,FI-980,-1,1.31,394,0,6724,196,Rocky,false,false,false,false,true,false,false,true,4,NORMAL,LOW,HIGH,false
FI-980c,FI-980c,FI-980,-1,1.24,382,2.02,6281,-11,Rocky,false,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
FI-980d,FI-980d,FI-980,-1,1.45,416,69.61,7529,-73,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-980e,FI-980e,FI-980,-1,0.93,858,27.83,24673,-144,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FI-980f,FI-980f,FI-980,-1,3.05,1031,22.93,67911,-169,Gaseous,true,false,false,true,false,true,true,false,3,HIGH,HIGH,LOW,false
FI-980g,FI-980g,FI-980,-1,1.7,9113,26.86,38441,-224,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-078a,FJ-078a,FJ-078,-1,0.99,357,9.19,5388,272,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
FJ-078b,FJ-078b,FJ-078,-1,0.49,276,0.06,2445,54,Rocky,false,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
FJ-078c,FJ-078c,FJ-078,-1,0.74,473,21.89,9568,-22,Rocky,true,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
FJ-078d,FJ-078d,FJ-078,-1,1.66,465,31.47,9298,-140,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-078e,FJ-078e,FJ-078,-1,0.88,849,10.03,22304,-176,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-155a,FJ-155a,FJ-155,-1,0.74,377,1.37,6103,-123,Rocky,false,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
FJ-155b,FJ-155b,FJ-155,-1,0.61,459,6.79,9076,-160,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-155c,FJ-155c,FJ-155,-1,0.9,448,1.6,8662,-170,Rocky,true,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
FJ-155d,FJ-155d,FJ-155,-1,1.16,406,13.16,7170,-202,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-155e,FJ-155e,FJ-155,-1,1.16,389,6.42,6543,-217,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-155f,FJ-155f,FJ-155,-1,0.66,861,88.51,25350,-220,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-155g,FJ-155g,FJ-155,-1,1.82,1087,19.34,81805,-252,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-471a,FJ-471a,FJ-471,-1,0.47,317,0.08,3947,-142,Rocky,true,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
FJ-471b,FJ-471b,FJ-471,-1,0.84,444,1.25,8514,-205,Rocky,false,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
FJ-471c,FJ-471c,FJ-471,-1,1.2,544,12.25,12144,-192,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-471d,FJ-471d,FJ-471,-1,1.44,1020,31.55,65242,-241,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-561a,FJ-561a,FJ-561,-1,1.45,410,0.04,7291,73,Rocky,false,false,false,false,true,false,false,false,2,NORMAL,LOW,NORMAL,false
FJ-561b,FJ-561b,FJ-561,-1,0.88,432,1817,8084,105,Rocky,true,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
FJ-561c,FJ-561c,FJ-561,-1,1.46,417,28.82,7546,-56,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-561d,FJ-561d,FJ-561,-1,0.37,354,0.28,5294,-101,Rocky,false,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
FJ-561e,FJ-561e,FJ-561,-1,1.38,423,97.8,7781,-146,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-561f,FJ-561f,FJ-561,-1,0.92,848,16.42,22136,-185,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-561g,FJ-561g,FJ-561,-1,1.99,995,48.78,58960,-208,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-561h,FJ-561h,FJ-561,-1,2.11,1071,44.72,77713,-261,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-561i,FJ-561i,FJ-561,-1,25.85,913,25.85,38370,-234,Gaseous,true,false,false,true,false,true,true,false,3,HIGH,HIGH,LOW,false
FJ-561j,FJ-561j,FJ-561,-1,0.8,385,0.03,6404,-248,Rocky,true,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
FJ-719a,FJ-719a,FJ-719,-1,0.46,398,2.62,6863,196,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
FJ-719b,FJ-719b,FJ-719,-1,1.02,411,6.61,7349,65,Rocky,false,false,false,false,false,true,false,false,3,NORMAL,HIGH,NORMAL,false
FJ-719c,FJ-719c,FJ-719,-1,1.13,424,1.51,7804,-53,Rocky,false,false,false,false,false,false,true,false,3,NORMAL,NORMAL,LOW,false
FJ-719d,FJ-719d,FJ-719,-1,0.82,433,20.32,8134,-85,Rocky,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-719e,FJ-719e,FJ-719,-1,0.32,278,0.01,2524,-144,Rocky,false,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
FJ-719f,FJ-719f,FJ-719,-1,0.79,855,13.18,23936,-167,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-719g,FJ-719g,FJ-719,-1,1.97,1073,46.6,78298,-223,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
FJ-982a,FJ-982a,FJ-982,-1,0.83,447,10.75,8631,106,Rocky,true,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
FJ-982b,FJ-982b,FJ-982,-1,0.6,491,0.01,10234,137,Rocky,false,false,false,false,true,false,false,true,4,NORMAL,LOW,HIGH,false
FJ-982c,FJ-982c,FJ-982,-1,0.52,373,1.63,5958,-9,Rocky,false,false,false,false,false,false,false,false,1,NORMAL,NORMAL,NORMAL,false
