Key,Material,Amount
ELP-BMF,FAN,1
ELP-BMF,MB,1
ELP-BMF,DCL,1
ELP-BWS,MB,1
ELP-BWS,DCM,1
ELP-BWS,HD,1
ELP-PA,KV,1
ELP-PA,AU,2
ELP-PA,SOC,6
ELP-PA,SWF,6
CLR-MTC,NCS,2
CLR-NFI,C,10
CLR-NFI,SI,2
CLR-LDI,GAL,1
CLR-LDI,SI,1
CLR-TRN,AL,1
CLR-TRN,SI,1
CLR-SWF,SI,1
CLR-SWF,AL,1
CLR-CAP,SI,1
CLR-CAP,FE,1
CLR-NCS,C,1
CLR-MWF,SI,2
CLR-MWF,AL,2
FP-RAT-1,GRN,1
FP-RAT-1,ALG,1
FP-RAT-1,VEG,1
FP-RAT-2,GRN,1
FP-RAT-2,ALG,1
FP-RAT-2,NUT,1
FP-RAT-3,MAI,1
FP-RAT-3,ALG,1
FP-RAT-3,VEG,1
FP-RAT-4,MAI,1
FP-RAT-4,BEA,1
FP-RAT-4,NUT,1
FP-RAT-5,MAI,1
FP-RAT-5,BEA,1
FP-RAT-5,VEG,1
FP-RAT-6,GRN,1
FP-RAT-6,BEA,1
FP-RAT-6,NUT,1
FP-RAT-7,MAI,1
FP-RAT-7,ALG,1
FP-RAT-7,NUT,1
FP-RAT-8,GRN,1
FP-RAT-8,BEA,1
FP-RAT-8,VEG,1
FP-DW-1,H2O,10
FP-DW-2,H2O,10
FP-DW-2,PG,1
FP-FIM,RAT,1
FP-FIM,HER,1
FP-PPA-1,BEA,2
FP-PPA-1,H2O,1
FP-PPA-2,ALG,1
FP-PPA-2,H2O,1
FP-PPA-2,BEA,1
FP-PPA-3,ALG,2
FP-PPA-3,H2O,1
FP-MEA,FIM,1
FP-MEA,MTP,1
FP-COF,CAF,1
FP-COF,DW,3
CHP-LCR,SI,1
CHP-LCR,O,1
CHP-IND,MG,1
CHP-IND,CU,1
CHP-IND,S,1
CHP-SC,CA,1
CHP-SC,MG,1
CHP-SC,TA,1
CHP-CA,LST,1
CHP-NS,H2O,2
CHP-NS,N,2
CHP-NS,LST,1
CHP-FLX,LST,1
CHP-NA,HAL,3
CHP-NA,H2O,1
CHP-MED,PE,50
CHP-MED,AL,1
CHP-MED,COT,4
CHP-MED,HER,1
SME-AU,C,1
SME-AU,AUO,3
SME-FE-1,FEO,6
SME-FE-1,C,1
SME-FE-1,O,1
SME-FE-1,FLX,1
SME-FE-2,FEO,6
SME-FE-2,C,1
SME-FE-2,O,1
SME-CU,CUO,5
SME-CU,O,10
SME-CU,SIO,1
SME-AL-1,ALO,6
SME-AL-1,C,1
SME-AL-1,O,1
SME-AL-2,ALO,6
SME-AL-2,O,1
SME-AL-2,C,1
SME-AL-2,FLX,1
SME-SI-1,TS,4
SME-SI-1,O,1
SME-SI-1,AL,1
SME-SI-2,SIO,3
SME-SI-2,AL,1
SME-STL,FE,2
SME-STL,O,8
SME-TI,TIO,4
SME-TI,C,1
SME-TI,O,1
MCA-MB,RAM,4
MCA-MB,MPC,4
MCA-MB,PSM,4
MCA-MB,SFK,4
MCA-HD,RG,1
MCA-HD,DCS,5
MCA-HD,LDI,5
MCA-FAN,AL,1
MCA-DIS,LCR,1
MCA-DIS,GL,3
MCA-SP,GL,8
MCA-SP,SI,4
MCA-SP,BCO,8
MCA-SP,BRO,1
FS-MFK,STL,1
FS-BGC,BGO,1
FS-BGC,PE,300
FS-SFK,FE,1
FS-BGO,AU,4
FS-BGO,FE,1
FS-RGO,AU,4
FS-RGO,CU,1
FS-HCC,RGO,1
FS-HCC,PE,300
FS-BCO,CU,1
FS-BCO,PE,300
FS-BRO,AL,1
FS-BRO,CU,2
LAB-NST,ES,1
LAB-NST,ALG,1
LAB-NST,THF,1
LAB-NR,EPO,50
LAB-NR,NCS,75
LAB-BAC,HCP,1
LAB-BAC,O,1
LAB-BAC,S,1
LAB-BLE,NA,1
LAB-BLE,CL,1
LAB-BLE,O,1
LAB-TCL,CL,1
LAB-TCL,O,1
LAB-TCL,H,1
LAB-BL,F,1
LAB-BL,O,1
LAB-CST,NS,1
LAB-CST,DW,1
LAB-THF,AMM,5
LAB-THF,H2O,5
LAB-DDT,C,1
LAB-DDT,H,1
LAB-DDT,CL,1
POL-PG,H,1
POL-PG,C,1
POL-PG,MG,1
POL-EPO,C,1
POL-EPO,H,1
POL-EPO,CL,1
POL-EPO,O,1
POL-SCN,PE,100
POL-SCN,CU,6
EEP-ES,LES,1
PP1-BSE,FE,1
PP1-BSE,LST,2
PP1-BBH,FE,2
PP1-BBH,LST,1
PP1-BDE,PE,150
PP1-BTA,FE,1
PP1-BTA,PE,50
SCA-SEN,TRN,20
SCA-SEN,H,10
SCA-SEN,N,10
SCA-ROM,PSS,10
SCA-ROM,BGC,10
SCA-ROM,SI,10
SCA-EBS,PCB,1
SCA-EBS,SOC,1
SCA-TPU,MWF,4
SCA-TPU,TRN,4
SCA-TPU,CAP,4
SCA-TPU,HCC,4
SCA-PCB,SWF,5
SCA-PCB,BCO,5
SCA-PCB,PE,150
SCA-RAM,PSS,6
SCA-RAM,CAP,6
SCA-RAM,BCO,6
SCA-SOC,SWF,10
SCA-SOC,PE,50
SCA-SOC,BGO,1
SCA-MPC,SWF,10
SCA-MPC,TRN,10
SCA-MPC,BCO,10
PP2-BTA,GL,1
PP2-BTA,AL,1
PP2-BSE,AL,1
PP2-BSE,LST,2
PP2-LDE,AL,3
PP2-LDE,NL,1
PP2-LSE,PG,120
PP2-LSE,AL,3
PP2-BBH,AL,2
PP2-BBH,LST,1
PP2-AEF,PG,50
PP2-AEF,NE,1
PP2-LTA,AL,1
PP2-LTA,GL,5
PP2-BDE,PG,75
PP2-LBH,PE,35
PP2-LBH,AL,3
REF-SF,AMM,1
REF-SF,GAL,2
REF-SF,H,3
REF-FF,HE3,2
REF-FF,H,4
REF-HE3,TS,3
WPL-KV,PG,75
WPL-KV,TCL,5
WPL-TK,KV,1
WPL-TK,TC,1
WPL-NL,PG,50
WPL-COT,RCO,1
WPL-SIL,RSI,1
PP3-PSH,TI,1
PP3-PSH,NFI,250
PP3-RDE,LDE,1
PP3-RDE,EPO,125
PP3-RDE,KV,1
PP3-RBH,BBH,1
PP3-RBH,STL,1
PP3-RBH,EPO,75
PP3-RTA,LTA,1
PP3-RTA,RG,8
PP3-MGC,MAG,1
PP3-MGC,LDE,1
PP3-INF,PE,100
PP3-INF,AR,1
PP3-INF,THF,1
PP3-RSE,BSE,2
PP3-RSE,STL,1
PP3-RSE,EPO,225
PP3-HSE,LSE,1
PP3-HSE,TCS,1
PP4-ABH,RBH,1
PP4-ABH,NR,75
PP4-RSH,TA,1
PP4-RSH,STL,1
PP4-RSH,LST,1
PP4-ADE,LDE,1
PP4-ADE,KV,1
PP4-ASE,RSE,1
PP4-ASE,TI,1
PP4-TSH,PE,250
PP4-TSH,LBH,2
PP4-TSH,BE,2
PP4-TSH,THF,2
PP4-ATA,RTA,1
PP4-ATA,NG,1
HYF-HCP,H2O,14
HYF-HCP,NS,1
HYF-CAF,H2O,22
HYF-CAF,NS,3
HYF-ALG,H2O,16
HYF-ALG,NS,2
HYF-RCO,H2O,10
HYF-RCO,NS,4
HYF-VEG,H2O,16
HYF-VEG,NS,1
TNP-TC,TCO,1
TNP-TCS,TC,1
APF-PDA,HPC,1
APF-PDA,EBS,1
APF-WR,FLP,12
APF-WR,FC,1
APF-WR,AWF,1
APF-WR,WAI,1
APF-WR,EBS,1
APF-WR,SEN,1
APF-LIS,WR,1
APF-LIS,AIR,1
APF-LIS,BMF,1
APF-LIS,WAI,1
APF-LIS,DA,1
APF-AIR,HCP,1
APF-AIR,NS,1
APF-AIR,H2O,1
APF-AIR,WAI,1
APF-AIR,EBS,1
APF-AIR,SAR,1
APF-AIR,GV,1
APF-AIR,FC,1
APF-AIR,BAC,1
APF-FFC,W,7
APF-FFC,WAI,1
APF-FFC,DA,1
APF-FFC,BMF,1
APF-TAC,SA,1
APF-TAC,BMF,1
APF-TAC,DA,1
APF-CC,WAI,1
APF-CC,EBS,1
APF-CC,SAR,15
APF-CC,GV,100
APF-CC,FC,8
APF-CC,THF,24
APF-WS,OS,1
APF-WS,BWS,1
APF-NV2,BMF,1
APF-NV2,SNM,4
APF-NV2,DD,1
APF-NV1,WS,1
APF-NV1,SNM,1
APF-NV1,LD,1
APF-CRU,CST,1
APF-CRU,WAI,1
APF-CRU,ES,10
APF-CRU,EBS,1
APF-CRU,SAR,1
APF-CRU,FLP,6
APF-CRU,FC,3
SL-OS,LD,1
SL-OS,WM,1
SL-OS,ROM,1
SL-DD,NF,1
SL-DD,LD,1
SL-DA,RA,1
SL-DA,SAL,1
SL-DA,LD,1
SL-DA,ROM,1
SL-SNM,SA,1
SL-SNM,DV,1
SL-SNM,ROM,1
SL-WAI,FNN,1
SL-WAI,RNN,1
SL-WAI,CNN,1
SL-WAI,ROM,1
ASM-AST,AL,1
ASM-AST,TI,3
ASM-FET,FE,1
ASM-FET,TI,3
ASM-BTI,AL,3
ASM-BTI,FE,3
CLF-HSS,NL,4
CLF-HSS,BLE,1
CLF-HSS,SEN,10
CLF-HSS,SOC,10
CLF-HMS,NL,1
CLF-HMS,IND,1
CLF-HMS,GC,6
CLF-LC,SIL,5
CLF-LC,BLE,1
CLF-LC,HD,5
CLF-LC,EBS,5
WEL-FLP,FE,1
WEL-FLP,AL,1
WEL-FLP,HE,1
WEL-FC,AL,1
WEL-FC,BSE,1
WEL-FC,HE,1
WEL-GC,FE,1
WEL-GC,AL,1
WEL-GC,HE,1
WEL-TRU,AL,2
WEL-TRU,HE,1
WEL-MHL,I,1
WEL-MHL,FE,1
WEL-MHL,HE,1
WEL-GV,AL,1
WEL-GV,HE,1
INC-C-1,HCP,4
INC-C-2,MAI,4
INC-C-3,HCP,4
INC-C-3,MAI,2
INC-C-4,GRN,4
INC-C-5,HCP,4
INC-C-5,GRN,2
INC-C-6,HCP,4
INC-C-6,GRN,2
INC-C-6,MAI,2
GF-GL,SIO,1
GF-RG,GL,10
GF-RG,PG,15
GF-NG,GL,10
GF-NG,NCS,10
